[('kaifulee', 0.0007451657742361161), 
('zhouyuan', 0.0007299703509968226), 
('imike', 0.0006846372474060264), 
('ma-bo-yong', 0.0006522300811558873), 
('gejinyuban', 0.0005657688617120264), 
('liangbianyao', 0.0005152352947078193), 
('zhu-xuan-86', 0.000500469201954684), 
('keso', 0.0004986040054224072), 
('yolfilm', 0.0004458260760664721), 
('xiepanda', 0.00043168261844862864), 
('cai-tong', 0.0004127126367523239), 
('fenng', 0.00038748675470350855), 
('amuro1230', 0.00037976158741816283), 
('jiaoshoutv', 0.0003696312692274453), 
('chengyuan', 0.00036297391207952816), 
('commando', 0.0003600879110445341), 
('magasa', 0.00035904765279475627), 
('wangnuonuo', 0.0003573632837745952), 
('chenqin', 0.00035228216012453596), 
('wangxiaofeng', 0.0003405719043211267), 
('lawrencelry', 0.0003334515165478214), 
('yangbo', 0.0003306827155127236), 
('zhang-xiao-bei', 0.00032852358833109494), 
('fu-er', 0.0003254686049461437), 
('kaiserwang730', 0.00032493957342354357), 
('chibaole', 0.00031701988478405525), 
('bo-cai-28-7', 0.0003109134822988066), 
('lisongwei', 0.0003106119353569735), 
('feifeimao', 0.0003092627578945322), 
('Tian-Hao-', 0.0003088113494512911), 
('yin-jiao-shou-32', 0.000307958200472229), 
('su-fei-17', 0.00030558002204346207), 
('matt-hartzell', 0.00030554455599392797), 
('ourdearamy', 0.0003053212318043375), 
('ma-qian-zu', 0.00030457643258542227), 
('magie', 0.00029956077878672915), 
('aton', 0.00029753910973655777), 
('nordenbox', 0.0002960205557523888), 
('talich', 0.00028694348212359306), 
('dong-ji-zai-hang-zhou', 0.00028547450320482733), 
('tian-ji-shun', 0.00027693365063115766), 
('chenbailing', 0.00027195113563903666), 
('whale', 0.00026663786465517983), 
('hecaitou', 0.0002657797438474102), 
('cogito', 0.0002654778924591232), 
('zhou-xiao-nong', 0.0002646795981766637), 
('cici', 0.00026351624905238244), 
('dongdongqiang', 0.00026265573957344864), 
('xiaodaoren', 0.00025936366223044635), 
('cao-zheng', 0.00025302271840483507), 
('fei-niao-bing-he', 0.0002507853022696776), 
('WxzxzW', 0.00024892956350729167), 
('douzishushu', 0.0002484532723300944), 
('DrHow', 0.00024789334864139907), 
('ji-xuan-yi-9', 0.0002461548539887355), 
('sizhuren', 0.0002448871677350814), 
('gu-che-dan', 0.00023819830119397833), 
('zhang-jing-88-76', 0.00023817168111368275), 
('BlackCloak', 0.00023669348160288312), 
('huazong', 0.0002346353236343859), 
('meng-de-er', 0.00023447405275622837), 
('haoqishiyanshi', 0.00023436465555276353), 
('zengjiaplus', 0.00023409880792767585), 
('cheng-yi-nan', 0.00023146933933859148), 
('miao-wei', 0.00022988451202555037), 
('baiya', 0.00022889641180546337), 
('yixiao-feng-yun-guo', 0.0002280831903976503), 
('lianghuan', 0.0002258357041433812), 
('xu-xiao-ping-87', 0.0002247067390923463), 
('rosicky311', 0.00022225893960389103), 
('ccat', 0.00022182600206352773), 
('liuniandate', 0.0002192735216592155), 
('han-qing', 0.00021863594989160007), 
('miaomiaomiao', 0.000215618083030612), 
('linan', 0.0002108534483465959), 
('guxizhao', 0.00020846372613942966), 
('negar-kordi', 0.00020743927330996514), 
('zombie', 0.00020673617434176583), 
('zhangleo', 0.00020475273016931983), 
('thejennyyy', 0.00020474645078685176), 
('gao-ke-69', 0.00020256057995736334), 
('jeffz', 0.00019969145196972312), 
('daguo', 0.00019945272278280615), 
('an-jia-men-yuan', 0.00019894673504976677), 
('huo-zhen-bu-lu-zi-lao-ye', 0.00019884623452300445), 
('Hemerocallis-Yu', 0.00019658632052046434), 
('chen-li-jie-75', 0.00019594877453810126), 
('ayat', 0.0001948045681798395), 
('ChenZhangyu', 0.00019452390392927013), 
('jing-lei', 0.0001933241600407375), 
('amonjok', 0.0001928417832529424), 
('wang-ni-ma-94', 0.0001919800483798413), 
('binka', 0.00019181025385395803), 
('jilingbhl', 0.00019099170574668278), 
('tan-man-ru-28', 0.00018994733672582833), 
('gracelu', 0.00018978601887152262), 
('rio', 0.00018940938296327757), 
('xu-hui-lin', 0.00018846063420823134), 
('lianghai', 0.00018818397928692518), 
('imajin', 0.00018808070624547766), 
('windleavez', 0.00018650602127524195), 
('sotrudy', 0.00018634041679755503), 
('jiang-fang-zhou', 0.0001843872722766842), 
('he-ming-ke', 0.00018248794724407414), 
('yinshoufu', 0.00018230623011560935), 
('chenghan', 0.0001821979651337669), 
('boxun', 0.00017988418243965242), 
('xuxiaoteng', 0.00017905826425589392), 
('qin.chao', 0.0001783367649643051), 
('edtall', 0.00017773689138453943), 
('zhi-shi-jiu-shi-li-liang-13', 0.00017672648724153777), 
('yandeng', 0.00017623852196355785), 
('bian', 0.00017588754490393196), 
('filestorm', 0.0001754461087278473), 
('guanyadi', 0.00017533420574298545), 
('gui-duo-da-lai-zuo', 0.00017492238853688064), 
('allenzhang', 0.00017454839768109415), 
('DKinBJ', 0.0001729620858444179), 
('jshisan', 0.0001718783229896155), 
('sherrylimusic', 0.00016827580384437394), 
('liu-san-bian-13', 0.00016565934863116007), 
('mali', 0.00016521092328119195), 
('wang-meng-yu', 0.0001651459242157858), 
('evenstar', 0.00016486233775588958), 
('bai-ru-bing-58', 0.00016464985493561447), 
('wang-yi-rui-57', 0.00016348346573632575), 
('rouni', 0.00016308316859778803), 
('wang-hong-hao-99', 0.00016161127906764972), 
('plumestreet', 0.00016134586690202238), 
('billhan', 0.00016096698183714923), 
('yusen', 0.00016082228219201024), 
('shenbin', 0.00016077859575272725), 
('luckystar', 0.00016054909875318026), 
('jing-shu-73-69', 0.0001590447315148579), 
('metrodatateam', 0.0001587088743145648), 
('rednaxelafx', 0.00015740092096865944), 
('acel-rovsion', 0.00015725071355432134), 
('MrToyy', 0.00015697646715446208), 
('benjamin', 0.00015670905191660607), 
('liu-peng-cheng-sai-l', 0.0001565214836118534), 
('hasuran-li', 0.0001557121728706762), 
('tian-yuan-dong', 0.00015537294547699891), 
('jin-chen-yu', 0.00015529194387849568), 
('dashan', 0.00015521470017133097), 
('cheng-hao-81', 0.00015512145718566756), 
('justiceforall', 0.0001537326825217986), 
('xiahao', 0.00015338427026610822), 
('mileijun', 0.0001525183511139206), 
('scarlettwei', 0.00015223263771252117), 
('shaofeidu', 0.00015129474570711583), 
('li-yu-ting-sunny', 0.00015069000585473896), 
('su-chen-chuan', 0.00014971273520769765), 
('winter-25', 0.00014951328771604626), 
('cha-men-hu-de-xiao-bei-xin', 0.00014940388567758105), 
('s0s0', 0.00014927872955239308), 
('Jazzlover', 0.00014818494982318613), 
('siyu-yang', 0.00014794926953563717), 
('li-yang-89', 0.00014743343581609386), 
('tao-zi-de-tao', 0.00014729442956203198), 
('lzy135', 0.00014639312949605147), 
('dannyw', 0.0001449857328510151), 
('wang-lu-43-95', 0.00014455563433076095), 
('zhang-fan-23-84', 0.00014435340025134807), 
('sevenkplus', 0.00014342619078483836), 
('alexya', 0.00014280404684285), 
('biglau', 0.0001425033317511927), 
('chu-yang-51-32', 0.00014232986000595063), 
('miloyip', 0.00014222267035491658), 
('hui-zi-51', 0.00014125182522441675), 
('luo-yong-hao', 0.0001411916362546603), 
('suyicon', 0.000140848044591193), 
('meagloria', 0.00014068966297011494), 
('cmf2015', 0.00014049948275782288), 
('fuwocheng', 0.00014037133268776953), 
('tinafever', 0.00013997873829220734), 
('Mumagag', 0.00013940744686645768), 
('Elaine222', 0.0001387136341046645), 
('yunshu', 0.00013789321079709215), 
('lu-pu-tao-21', 0.00013768459723010882), 
('li-xiao-feng-sky', 0.00013764329034979524), 
('lan-se-52-30', 0.0001373639532588821), 
('huma', 0.00013589216147287363), 
('wang-xiao-chuan', 0.00013553436003478593), 
('onlyswan', 0.00013526948045813571), 
('watcheco', 0.00013486269510440573), 
('duyan', 0.00013470608835429817), 
('gayscript', 0.00013421443557088195), 
('zhang-chun-34', 0.0001341053424316101), 
('yeka', 0.00013401217244132685), 
('fang-shi-yi-yue', 0.00013359455140140238), 
('zhongyu666', 0.00013358929083250674), 
('wangrio', 0.00013339892971069917), 
('helanqiaoyue', 0.0001332150703914128), 
('li-ao-wen', 0.00013302168186682118), 
('yu-chao-qun', 0.0001328372654013921), 
('wang-lin-83-53', 0.00013257990055941116), 
('li-xing-he-90', 0.00013244232755377257), 
('zhi-shi-fen-zi-2015', 0.00013239948794982242), 
('pansz', 0.0001323071111990137), 
('joshoka', 0.00013230534378362238), 
('kun-yu', 0.00013189689684906978), 
('canniu', 0.0001318253216248354), 
('ji-xu-zhe-zhang', 0.00013178818162417895), 
('xiaozhuangpetitfancy', 0.00013139367631064892), 
('Trevor-Woo', 0.00013121452416932312), 
('cindysss', 0.00013098946930645796), 
('junyu', 0.000130515314876115), 
('jiejie_my_lover', 0.0001302613741016495), 
('alex-41-18', 0.00012975030858139032), 
('ka-li-ji', 0.00012942719538176827), 
('ponyma', 0.00012901170562003907), 
('4everandever', 0.00012893958310820653), 
('dashhuang', 0.00012834710622789235), 
('xia-ji-ji-28', 0.00012823443764073294), 
('renfish', 0.0001277130676118119), 
('dongkeren', 0.00012725608326958176), 
('tian-yu-bai', 0.00012702179161041432), 
('xiaozhenliu', 0.0001267438032969855), 
('goshizanka', 0.0001263900932536586), 
('zhao-hao-yang-1991', 0.00012604029029801767), 
('liu-yi-jie-84', 0.0001257696359517823), 
('yangxiaoche', 0.00012569037397972325), 
('wangbohan', 0.00012521994170376223), 
('tombkeeper', 0.00012498413038389234), 
('FantasticCathy', 0.00012433076948714853), 
('jinpengyuan', 0.0001236042840204491), 
('goal_lawyer', 0.00012336863199689406), 
('zhao-wei-81-40', 0.00012300711774649879), 
('dotzhuang', 0.00012286512044245936), 
('li-lao-shu', 0.00012271694965749864), 
('tinyfool', 0.00012234245115674863), 
('wang-duan-duan', 0.00012214812850727644), 
('lycheeorange', 0.00012195320408645127), 
('zhang-peng', 0.00012173578420410692), 
('Changmingwei', 0.00012150798776942973), 
('de-chuan-mi-mi', 0.00012081924273325968), 
('Michael282694', 0.00012074815944112101), 
('heretic', 0.00012039083957687537), 
('superwyh', 0.0001202432424308306), 
('catchen', 0.00012018130915250312), 
('mao-yu-li', 0.00011962443241320104), 
('10082', 0.00011960375401668018), 
('dai-zhen-yang', 0.00011904574138641706), 
('zhihuadmin', 0.00011873734476488661), 
('baimo', 0.00011816449063916462), 
('kichiku', 0.00011723010277203466), 
('hong-hong-38-50', 0.00011699410557505658), 
('da-tou-bang-zhu', 0.00011654180905852227), 
('sunlau', 0.0001165412663508021), 
('lao-bing-yin-ji-xian', 0.0001163941494964086), 
('xiao-jing-mo', 0.00011636922693112589), 
('chen-xi-er-86', 0.00011621223934908998), 
('rilakkimura', 0.00011609257040482705), 
('wuchangyexue', 0.00011587514892915839), 
('bo-bang-ni-52', 0.00011583639774169634), 
('hu-lan-13', 0.00011579424502474656), 
('pandacc', 0.0001157350037992586), 
('mo-zhi-xian-sheng', 0.00011565186064612313), 
('zhu-yu-xin-80', 0.00011551421685298994), 
('elyn', 0.0001154523994428448), 
('guan-mao-12', 0.000115281145091768), 
('panxin', 0.0001152535116301897), 
('wu-ze-yong', 0.00011511197662728424), 
('tonyzhao120', 0.00011503037461681335), 
('Zoe2012', 0.00011494221021217361), 
('li-yan-lin-22-95', 0.00011476353630755773), 
('martin-bi', 0.00011441949660378642), 
('underland', 0.00011434759204367073), 
('li-jing-20-69', 0.0001140432404771618), 
('ling-hu-fu-gui', 0.00011351370660437761), 
('momoxie', 0.00011344260831643197), 
('lilew', 0.00011313106107714972), 
('emily-lou', 0.00011301105386205184), 
('sijichun', 0.00011296966904142951), 
('sijiazhao', 0.00011276471016971403), 
('qvweiwei', 0.00011264712342591395), 
('nogirlnotalk', 0.00011261637504066071), 
('robbin', 0.0001125504026047697), 
('zi-quan-26', 0.00011252822369365734), 
('li-pen', 0.00011251312715675223), 
('cyberknight', 0.00011241907363295094), 
('xiong-chen-yan', 0.00011199644815478596), 
('ding-gou', 0.00011186651787981144), 
('suji-yan', 0.00011173667048786965), 
('xiao-duan', 0.00011148363661021062), 
('zou-xin-26', 0.00011056778923197803), 
('nocturn', 0.00011051892215404377), 
('HanedaNakayama', 0.00011047879176453582), 
('evilcos', 0.00011040281122372724), 
('YSGG', 0.00011025914725540235), 
('shen-yibing', 0.00011003802326359635), 
('chen-xing-yi', 0.00011002487599688608), 
('marsliu', 0.00010994886567593664), 
('mu-rong-qi-95', 0.00010981441911685331), 
('luoxiaoju', 0.00010967451696400415), 
('id47', 0.00010956520925676172), 
('po-ling', 0.00010956407822448663), 
('xie-ming-1', 0.00010955562531199345), 
('jinercheung', 0.00010923480376815355), 
('jjmoe', 0.00010899154920580846), 
('shi-wei-hu-bu-gui', 0.00010893049768809737), 
('chen-fu-zhou', 0.00010887289590174069), 
('haoel', 0.00010878444513786965), 
('xbjf', 0.00010865621081975656), 
('jjuan', 0.00010856281645708852), 
('xie-wei-54-24', 0.00010843779500235956), 
('giantchen', 0.00010838396035838325), 
('nan-mao-38', 0.00010827757514910622), 
('brianz', 0.0001082706362816384), 
('summer-clover', 0.00010768953654600937), 
('zhangxiaojiesz', 0.0001076720548519817), 
('luo-xuan-zhen-li', 0.00010747298586942547), 
('hsia', 0.00010738199458983345), 
('thomasluo', 0.00010734464422908264), 
('aiyinxingshu', 0.00010728072979317289), 
('feng-dong', 0.00010717634932810342), 
('kejun', 0.00010709416378833335), 
('zi-liu', 0.0001070301625370351), 
('wei-si-li-82', 0.00010679672075741244), 
('ding-ruo-shui', 0.00010677446438844308), 
('hei-se-bo-luo', 0.00010669006263285541), 
('ye-xiao-zi', 0.00010661354330164008), 
('shotgun', 0.00010658657541639885), 
('cheng-nian', 0.00010657522766887982), 
('yuyiqi', 0.00010638669683573052), 
('suosi', 0.00010635771107871881), 
('andrew-shen-29', 0.00010631818384905024), 
('zuielaoshi', 0.00010601058401110302), 
('weizhi.pan', 0.00010591489493422889), 
('wang-hua', 0.00010538610472840398), 
('xiao-5a', 0.00010522118179639685), 
('huan-mie-yao-seng', 0.00010509495732469645), 
('yuan-jing-82-81', 0.00010480778043645496), 
('be5invis', 0.00010472009283216035), 
('lawrenceWang', 0.00010464018309631903), 
('qi-e-xiang-xiang-chang', 0.00010457145600215875), 
('wilbert.g', 0.00010450480271705777), 
('edison-chen-8612', 0.00010446521950972672), 
('minilily', 0.00010443588063976642), 
('zhujunxie', 0.0001043228278240088), 
('perry-song', 0.00010397998192033386), 
('xu-zhe-42', 0.0001039677097131313), 
('xu-zhao-jun', 0.00010388668445571804), 
('kun-kun', 0.00010385294505149112), 
('wang-xiao-pi-18', 0.00010355620494642554), 
('fanquanquan', 0.00010321311716779599), 
('cheng-xiao-76-31', 0.00010316182943153113), 
('ji-le-18', 0.0001030635097540521), 
('stevenhubin', 0.00010298276608356667), 
('cao-xu-dong-52', 0.00010288490485302253), 
('xie-wei-xiang-57', 0.00010287234469973576), 
('wan-wan-15', 0.00010283768277669946), 
('nan-qu-xiong-mao', 0.00010277343678883171), 
('unseendesire', 0.00010273312144859507), 
('198Q', 0.00010229582943579321), 
('yiqin-fu', 0.00010228191338928363), 
('____', 0.00010224550692366022), 
('linglingfa', 0.00010217265966299815), 
('yeyi', 0.0001021578886298481), 
('chengguizi', 0.00010202319884384239), 
('anshi', 0.00010190410485856956), 
('she-zhao-zhuo', 0.00010187098405248517), 
('younglaoshi', 0.00010127107873855402), 
('peach', 0.0001012480595057063), 
('zhou-ke-55', 0.00010111802496827485), 
('fu-sheng-wei-ban', 0.00010109528226948305), 
('wang-wei-62-88', 0.00010106111477308191), 
('zhou-bai-zhi-bai', 0.00010098928285705799), 
('liu-qing-48', 0.0001009561834959361), 
('sharkui', 0.0001008778517056667), 
('unogzx', 0.00010081121324704167), 
('wu-yu-an', 9.974563363538657e-05), 
('NicolasYu', 9.9578769297058e-05), 
('huang-bu-hui-20', 9.947477860831506e-05), 
('tsun', 9.914452508458169e-05), 
('vieplivee', 9.88303762931518e-05), 
('zhao-dan-miao', 9.882652988802043e-05), 
('si-tao-64', 9.846504488901008e-05), 
('coconut76wd6', 9.834205808556957e-05), 
('pan-fan-65', 9.799041547383767e-05), 
('binghan', 9.761188370114663e-05), 
('oneworld', 9.761169800055639e-05), 
('yu-jun', 9.747022896597002e-05), 
('burun', 9.742137069461492e-05), 
('wang-you-28', 9.735067351972875e-05), 
('zhao-___-si', 9.73148688368568e-05), 
('PortiaC', 9.728570473484626e-05), 
('xiao-wu-zhu-bu-xia', 9.723915563342666e-05), 
('wan-nian', 9.721790253193757e-05), 
('liu-ting-ting-64', 9.70839997735885e-05), 
('johnxu', 9.690322201231046e-05), 
('Ivony', 9.683908475119417e-05), 
('yeqingbo', 9.677935325377441e-05), 
('magicying', 9.672622297823806e-05), 
('liufeng', 9.671522639965653e-05), 
('fall_ark', 9.664284912001286e-05), 
('xu-yan-2', 9.654519990491401e-05), 
('caramelgrace', 9.65280755538667e-05), 
('zhengziyang', 9.646590184977968e-05), 
('seabert', 9.640386322879112e-05), 
('cong-shi-lian', 9.63959517624615e-05), 
('chun-san-ji', 9.634619946503728e-05), 
('tang-xian-zhi', 9.630559745641075e-05), 
('zhuang-biao-wei', 9.62629570133416e-05), 
('laufei', 9.62185702243624e-05), 
('pb612', 9.598298000568093e-05), 
('dai-yu-xiu', 9.59493689040102e-05), 
('callmedian', 9.588881376257623e-05), 
('jun-mo-52', 9.569059076488051e-05), 
('deng-geng', 9.560676120333557e-05), 
('kukudi1028', 9.552901943625886e-05), 
('vinciarts', 9.53064552066468e-05), 
('hu-er-da-lian', 9.522550638473385e-05), 
('su-de-zhong-84', 9.519645540713627e-05), 
('juan-32', 9.51239535651982e-05), 
('bubu1945', 9.477904593974828e-05), 
('bai-lu-68', 9.455362053446244e-05), 
('lovefcb', 9.454582389511162e-05), 
('pierrexjj', 9.434559131569954e-05), 
('gauchewood', 9.426585607763701e-05), 
('xiong-qiu-yue', 9.413841193383879e-05), 
('yilin-wang-38', 9.411231901700923e-05), 
('gao-fei-long-50', 9.410076789138483e-05), 
('calistawang', 9.406690873886934e-05), 
('he-shi-jun', 9.38097178556586e-05), 
('tang-di-4-29', 9.375430185381042e-05), 
('suej', 9.368722359739221e-05), 
('issacfeng', 9.34810178668575e-05), 
('rambler-may', 9.341894420491852e-05), 
('yong-he-8', 9.337481732880847e-05), 
('miao-miao-yao-yao-yao', 9.326387057197709e-05), 
('mei-teng-tian', 9.324673011600203e-05), 
('donye', 9.319171975085546e-05), 
('zhang-san-feng-81-29', 9.305492466769829e-05), 
('gu-da-bai-hua-3', 9.303828837762333e-05), 
('nuo-nuo-82-54', 9.300767621380075e-05), 
('zeeny', 9.292530782936606e-05), 
('xsztd', 9.261700420103275e-05), 
('an-sen-yao-49', 9.249366801974668e-05), 
('kai-wang-48', 9.241553256296184e-05), 
('nuclearcarrot', 9.237046579890609e-05), 
('uxworks', 9.228693490381932e-05), 
('yinzhangqi', 9.22838461902144e-05), 
('fangkc', 9.223606297735279e-05), 
('hu2ge1', 9.20515305039557e-05), 
('jia-yang-qing-74', 9.189548773689132e-05), 
('bu-pang-niu', 9.160388060920861e-05), 
('jin-cheng-qi', 9.160009464962945e-05), 
('yu-ting-hua', 9.157623767896877e-05), 
('chen-yu-lan-25', 9.156342683211602e-05), 
('liang-qi-wei-15', 9.151030808232756e-05), 
('lipengcheng', 9.12152132053662e-05), 
('handong1986', 9.115247494406145e-05), 
('multivac', 9.096444350218979e-05), 
('mu-mu-55-53', 9.080981179430112e-05), 
('steveshi', 9.076207401699525e-05), 
('allen-xu-3', 9.075971783817076e-05), 
('sansanl', 9.075039548814138e-05), 
('lxhfirenking', 9.070882329408604e-05), 
('hai-lun-na-er', 9.069849238696526e-05), 
('shen-yin', 9.068926271106789e-05), 
('luo-wen-yi-36', 9.067358639781331e-05), 
('null---', 9.058479964752133e-05), 
('philippes', 9.049430647426794e-05), 
('tgsunny', 9.044364516213415e-05), 
('mj1997', 9.032156462907508e-05), 
('luzern', 9.021124871492181e-05), 
('m-a-g-i', 9.016320967685992e-05), 
('yang-ai-hong-46', 8.988695990108497e-05), 
('moheng-esther', 8.978127635263572e-05), 
('rainee-jiang', 8.977692911794948e-05), 
('jane.dous', 8.970046357291741e-05), 
('starose', 8.96732578627266e-05), 
('skywind3000', 8.958056366571474e-05), 
('tong-da-wei-92', 8.956013330246694e-05), 
('bboczeng', 8.949789253744525e-05), 
('faker', 8.940168477498935e-05), 
('moni-21', 8.931119981419366e-05), 
('huang-liang-81-77', 8.907779465472039e-05), 
('hypnova', 8.896171477426304e-05), 
('bhuztez', 8.859399141573421e-05), 
('tao-miao-miao-70', 8.855533875452032e-05), 
('wang-jun-32', 8.853859078824139e-05), 
('li-mei-li-97', 8.850047007785351e-05), 
('hu-jing-70-38', 8.848251373824632e-05), 
('edyfox', 8.846515786183977e-05), 
('tlxue', 8.841488990426715e-05), 
('be-with-lele', 8.837062056992604e-05), 
('wang-guan-nan-4', 8.825734081526047e-05), 
('valdanito', 8.81646424999654e-05), 
('Brainhill', 8.814796848194648e-05), 
('dake', 8.806129218215265e-05), 
('meng-xiao-qi-73', 8.803369092333181e-05), 
('yinwang0', 8.776073293796729e-05), 
('dan-feng-23', 8.770385003820752e-05), 
('hu-rou', 8.758878956489132e-05), 
('bei-feng-san-dai', 8.741876592363237e-05), 
('zoubo', 8.739681606991302e-05), 
('dimlau', 8.736463820085963e-05), 
('lu-pi-xiong', 8.730861472876659e-05), 
('zhang_lei', 8.704387892660173e-05), 
('polyhedron', 8.69517109243486e-05), 
('jiong-ni-jiang', 8.693318810794757e-05), 
('kingsmile', 8.690763681508664e-05), 
('tony.wong.hk', 8.690287326334077e-05), 
('shang-guan-xiao-xia', 8.68510786873889e-05), 
('wang-tian-tian-91-22', 8.683670677810702e-05), 
('mu-tian-80', 8.679371961918373e-05), 
('wansfang', 8.670608163648005e-05), 
('huang-shan-2', 8.663053640130884e-05), 
('jennywang-94', 8.660591207336105e-05), 
('zhu-sha', 8.651126774594609e-05), 
('banlon', 8.632855706626454e-05), 
('neotype', 8.632212807774819e-05), 
('pu-er-ding-2', 8.631729662737119e-05), 
('jing-22', 8.629007755349199e-05), 
('fang-hao-4-48', 8.622101547443562e-05), 
('ding-ze-yu-56', 8.620103533998591e-05), 
('knowurself', 8.617847843511348e-05), 
('shi-xuan-dao', 8.613395824768168e-05), 
('JX-Consp', 8.607245109728228e-05), 
('cody-16', 8.606853144100118e-05), 
('you-shi-you-shi', 8.58063454569421e-05), 
('xiazi-06-23', 8.577910421955176e-05), 
('nono-46-65', 8.577910421954901e-05), 
('wang-sign', 8.577349551290155e-05), 
('sagacity', 8.565655167938126e-05), 
('disinfeqt', 8.559397305232245e-05), 
('sun-xiao-mei-125', 8.554938120466539e-05), 
('Uncleleslie', 8.546641272704153e-05), 
('wilson-suen', 8.546326620529279e-05), 
('shuang-wang', 8.533905870776721e-05), 
('zhoumengmeng', 8.532961488283572e-05), 
('naiyan-wang', 8.524844201805517e-05), 
('hao-lee-17', 8.511726225782097e-05), 
('YLongJimmy', 8.492174091604986e-05), 
('tan-man-ru', 8.486625384080991e-05), 
('yang-xing-mei-shao-nian', 8.479425783411138e-05), 
('bing-deng-xing', 8.471426645816595e-05), 
('shaocheng_cafe2code', 8.469550150413617e-05), 
('2zhuang', 8.467302575648606e-05), 
('alice-xi', 8.460211836597859e-05), 
('ren-yi-8', 8.457012775867073e-05), 
